装备生成ID,装备备注,生成道具ID,装备基础效果1,装备基础效果1参数,装备基础效果1描述,装备基础效果2,装备基础效果2参数,装备基础效果2描述,装备基础效果3,装备基础效果3参数,装备基础效果3描述,装备基础效果4,装备基础效果4参数,装备基础效果4描述,装备基础效果5,装备基础效果5参数,装备基础效果5描述,装备基础效果6,装备基础效果6参数,装备基础效果6描述,装备基础效果7,装备基础效果7参数,装备基础效果7描述,装备基础效果8,装备基础效果8参数,装备基础效果8描述,装备备选效果1,备选效果1权值,装备备选效果1参数,装备备选效果1描述,装备备选效果2,备选效果2权值,装备备选效果2参数,装备备选效果2描述,装备备选效果3,备选效果3权值,装备备选效果3参数,装备备选效果3描述,装备备选效果4,备选效果4权值,装备备选效果4参数,装备备选效果4描述,装备备选效果5,备选效果5权值,装备备选效果5参数,装备备选效果5描述,装备备选效果6,备选效果6权值,装备备选效果6参数,装备备选效果6描述,装备备选效果7,备选效果7权值,装备备选效果7参数,装备备选效果7描述,装备备选效果8,备选效果8权值,装备效果8参数,装备效果8描述
221068,暗影之衣生成器(紫),22068,4,[128+185],34004,23,[5+7],34023,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,3,2000,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2000,[1+4],34024,,,,,,,,
221069,水晶之衣生成器(白),22069,4,[63+91],34004,31,[4+6],34031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221070,水晶之衣生成器(绿),22070,4,[73+105],34004,31,[5+7],34031,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,18,2000,[8+16],34018,31,2000,[3+5],34031,,,,,,,,,,,,
221071,水晶之衣生成器(蓝),22071,4,[84+121],34004,31,[6+8],34031,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,18,2000,[8+16],34018,31,2000,[3+5],34031,,,,,,,,,,,,
221072,水晶之衣生成器(紫),22072,4,[96+139],34004,31,[7+10],34031,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,18,2000,[8+16],34018,31,2000,[3+5],34031,,,,,,,,,,,,
221073,祝福之衣生成器(白),22073,4,[79+114],34004,14,[19+27],34014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221074,祝福之衣生成器(绿),22074,4,[92+133],34004,14,[22+31],34014,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,18,2000,[8+16],34018,20,2000,[3+6],34020,,,,,,,,,,,,
221075,祝福之衣生成器(蓝),22075,4,[105+152],34004,14,[25+36],34014,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,18,2000,[8+16],34018,20,2000,[3+6],34020,,,,,,,,,,,,
221076,祝福之衣生成器(紫),22076,4,[121+175],34004,14,[29+41],34014,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,18,2000,[8+16],34018,20,2000,[3+6],34020,,,,,,,,,,,,
221077,狂傲之铠生成器(白),22077,4,[174+252],34004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221078,狂傲之铠生成器(绿),22078,4,[202+292],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,,,,,,,,
221079,狂傲之铠生成器(蓝),22079,4,[232+336],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,,,,,,,,
221080,狂傲之铠生成器(紫),22080,4,[267+386],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,,,,,,,,
221085,狩魂之衣生成器(白),22085,4,[141+203],34004,6,[29+42],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221086,狩魂之衣生成器(绿),22086,4,[163+236],34004,6,[34+49],34006,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,16,1500,[10+20],34016,20,1500,[4+8],34020,23,1000,[2+5],34023,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
221087,狩魂之衣生成器(蓝),22087,4,[188+271],34004,6,[39+56],34006,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,16,1500,[10+20],34016,20,1500,[4+8],34020,23,1000,[2+5],34023,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
221088,狩魂之衣生成器(紫),22088,4,[216+312],34004,6,[45+65],34006,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,16,1500,[10+20],34016,20,1500,[4+8],34020,23,1000,[2+5],34023,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
221089,神行之衣生成器(白),22089,4,[100+145],34004,23,[4+6],34023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221090,神行之衣生成器(绿),22090,4,[116+168],34004,23,[5+7],34023,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,3,2000,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2000,[2+5],34024,,,,,,,,
221091,神行之衣生成器(蓝),22091,4,[134+193],34004,23,[6+8],34023,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,3,2000,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2000,[2+5],34024,,,,,,,,
221092,神行之衣生成器(紫),22092,4,[154+222],34004,23,[7+10],34023,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,3,2000,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2000,[2+5],34024,,,,,,,,
221093,魔导之衣生成器(白),22093,4,[76+110],34004,31,[6+8],34031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221094,魔导之衣生成器(绿),22094,4,[88+127],34004,31,[6+9],34031,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,18,2000,[10+20],34018,31,2000,[3+7],34031,,,,,,,,,,,,
221095,魔导之衣生成器(蓝),22095,4,[101+146],34004,31,[7+11],34031,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,18,2000,[10+20],34018,31,2000,[3+7],34031,,,,,,,,,,,,
221096,魔导之衣生成器(紫),22096,4,[116+168],34004,31,[9+12],34031,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,18,2000,[10+20],34018,31,2000,[3+7],34031,,,,,,,,,,,,
221097,星语之衣生成器(白),22097,4,[96+139],34004,14,[25+36],34014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221098,星语之衣生成器(绿),22098,4,[111+161],34004,14,[29+42],34014,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,18,2000,[10+20],34018,20,2000,[4+8],34020,,,,,,,,,,,,
221099,星语之衣生成器(蓝),22099,4,[128+185],34004,14,[33+48],34014,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,18,2000,[10+20],34018,20,2000,[4+8],34020,,,,,,,,,,,,
221100,星语之衣生成器(紫),22100,4,[147+213],34004,14,[38+55],34014,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,18,2000,[10+20],34018,20,2000,[4+8],34020,,,,,,,,,,,,
221101,皮革战衣生成器(白）,22101,4,[87+126],34004,11,[7+10],34011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221102,皮革战衣生成器(绿）,22102,4,[101+146],34004,11,[8+11],34011,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,,,,,,,,
221103,皮革战衣生成器(蓝),22103,4,[116+168],34004,11,[9+13],34011,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,,,,,,,,
221104,皮革战衣生成器(紫),22104,4,[134+193],34004,11,[10+15],34011,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,,,,,,,,
221105,厚重铠甲生成器(白）,22105,4,[117+169],34004,11,[18+26],34011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221106,厚重铠甲生成器(绿）,22106,4,[136+196],34004,11,[21+30],34011,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,,,,,,,,
221107,厚重铠甲生成器(蓝),22107,4,[156+226],34004,11,[24+35],34011,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,,,,,,,,
221108,厚重铠甲生成器(紫),22108,4,[179+259],34004,11,[28+40],34011,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,,,,,,,,
221109,圣堂铠甲生成器(白）,22109,4,[149+215],34004,11,[28+41],34011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221110,圣堂铠甲生成器(绿）,22110,4,[173+250],34004,11,[32+47],34011,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,,,,,,,,
221111,圣堂铠甲生成器(蓝),22111,4,[198+287],34004,11,[37+54],34011,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,,,,,,,,
221112,圣堂铠甲生成器(紫),22112,4,[228+330],34004,11,[43+62],34011,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,,,,,,,,
221113,65守卫护甲生成器(白）,22113,4,[182+264],34004,11,[39+56],34011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221114,65守卫护甲生成器(绿）,22114,4,[212+306],34004,11,[45+65],34011,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,,,,,,,,
221115,65守卫护甲生成器(蓝),22115,4,[243+352],34004,11,[51+74],34011,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,,,,,,,,
221116,65守卫护甲生成器(紫),22116,4,[280+404],34004,11,[59+86],34011,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,,,,,,,,
221501,角斗之铠生成器(金),22501,4,[270+270],34004,,,,,,,,,,,,,,,,,,,,,,11,2000,[9+9],34011,14,2000,[9+9],34014,21,2000,[2+2],34021,24,2000,[2+2],34024,25,2000,[3+3],34025,,,,,,,,,,,,
221509,战铠生成器(金),22509,4,[87+126],34004,23,[2+4],34023,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,3,2000,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2000,[1+2],34024,,,,,,,,
221513,精灵袍生成器(金),22513,4,[100+144],34004,14,[12+18],34014,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,2000,[4+8],34018,20,2000,[1+3],34020,,,,,,,,,,,,
221517,武士铠生成器(金),22517,4,[166+239],34004,11,[14+20],34011,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,,,,,,,,
221521,飞羽铠生成器(金),22521,4,[117+169],34004,6,[17+25],34006,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,16,1500,[4+8],34016,20,1500,[1+3],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
221525,魔法袍生成器(金),22525,4,[72+104],34004,31,[4+5],34031,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1000,[4+8],34018,31,2000,[1+3],34031,,,,,,,,,,,,
221529,骑士铠生成器(金),22529,4,[204+295],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,,,,,,,,
221537,鹰之衣生成器(金),22537,4,[164+238],34004,6,[30+43],34006,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,16,1500,[6+12],34016,20,1500,[2+4],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
221541,风之铠生成器(金),22541,4,[134+194],34004,23,[4+5],34023,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,3,2000,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2000,[1+2],34024,,,,,,,,
221545,术士之衣生成器(金),22545,4,[95+137],34004,31,[6+9],34031,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,18,2000,[6+12],34018,31,2000,[2+4],34031,,,,,,,,,,,,
221549,祭司之袍生成器(金),22549,4,[137+198],34004,14,[26+38],34014,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,18,2000,[6+12],34018,20,2000,[2+4],34020,,,,,,,,,,,,
221553,荣耀之铠生成器(金),22553,4,[274+396],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,,,,,,,,
221561,王牌之衣生成器(金),22561,4,[223+322],34004,6,[45+65],34006,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,16,1500,[8+16],34016,20,1500,[3+6],34020,23,1000,[1+4],34023,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
221565,暗影之衣生成器(金),22565,4,[167+241],34004,23,[6+9],34023,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,3,2000,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2000,[1+4],34024,,,,,,,,
221569,水晶之衣生成器(金),22569,4,[126+182],34004,31,[9+13],34031,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,18,2000,[8+16],34018,31,2000,[3+5],34031,,,,,,,,,,,,
221573,祝福之衣生成器(金),22573,4,[158+229],34004,14,[37+54],34014,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,18,2000,[8+16],34018,20,2000,[3+6],34020,,,,,,,,,,,,
221577,狂傲之铠生成器(金),22577,4,[349+504],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,,,,,,,,
221585,狩魂之衣生成器(金),22585,4,[281+407],34004,6,[59+85],34006,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,16,1500,[10+20],34016,20,1500,[4+8],34020,23,1000,[2+5],34023,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
221589,神行之衣生成器(金),22589,4,[200+290],34004,23,[9+13],34023,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,3,2000,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2000,[2+5],34024,,,,,,,,
221593,魔导之衣生成器(金),22593,4,[152+220],34004,31,[11+16],34031,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,18,2000,[10+20],34018,31,2000,[3+7],34031,,,,,,,,,,,,
221597,星语之衣生成器(金),22597,4,[192+277],34004,14,[50+72],34014,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,18,2000,[10+20],34018,20,2000,[4+8],34020,,,,,,,,,,,,
221601,皮革战衣生成器(金),22601,4,[174+252],34004,11,[14+20],34011,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,,,,,,,,
221605,厚重铠甲生成器(金),22605,4,[234+338],34004,11,[36+52],34011,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,,,,,,,,
221609,圣堂铠甲生成器(金),22609,4,[298+430],34004,11,[56+81],34011,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,,,,,,,,
221613,65守卫护甲生成器(金),22613,4,[365+527],34004,11,[77+112],34011,,,,,,,,,,,,,,,,,,,4,2000,[56+94],34004,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,,,,,,,,
221901,1级勇士套装衣服（橙）,22901,4,[236+341],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,,,,,,,,
231001,皮靴生成器(白),23001,4,[22+32],34004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231002,皮靴生成器(绿),23002,4,[25+37],34004,,,,,,,,,,,,,,,,,,,,,,11,5000,[2+4],34011,14,5000,[2+4],34014,,,,,,,,,,,,,,,,,,,,,,,,
231009,战靴生成器(白),23009,4,[44+63],34004,23,[1+2],34023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231010,战靴生成器(绿),23010,4,[51+73],34004,23,[1+2],34023,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,3,2500,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
231011,战靴生成器(蓝),23011,4,[58+84],34004,23,[2+2],34023,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,3,2500,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
231012,战靴生成器(紫),23012,4,[67+97],34004,23,[2+3],34023,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,3,2500,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
231013,精灵靴生成器(白),23013,4,[24+35],34004,14,[14+20],34014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231014,精灵靴生成器(绿),23014,4,[28+41],34004,14,[16+23],34014,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,20,1500,[1+3],34020,3,2000,[2+4],34003,,,,,,,,
231015,精灵靴生成器(蓝),23015,4,[32+47],34004,14,[18+26],34014,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,20,1500,[1+3],34020,3,2000,[2+4],34003,,,,,,,,
231016,精灵靴生成器(紫),23016,4,[37+54],34004,14,[21+30],34014,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,20,1500,[1+3],34020,3,2000,[2+4],34003,,,,,,,,
231017,武士靴生成器(白),23017,4,[31+45],34004,16,[6+9],34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231018,武士靴生成器(绿),23018,4,[36+52],34004,16,[7+10],34016,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,1500,[6+12],34011,14,1500,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
231019,武士靴生成器(蓝),23019,4,[42+60],34004,16,[8+12],34016,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,1500,[6+12],34011,14,1500,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
231020,武士靴生成器(紫),23020,4,[48+69],34004,16,[10+14],34016,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,1500,[6+12],34011,14,1500,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
231021,飞羽靴生成器(白),23021,4,[17+25],34004,6,[19+27],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231022,飞羽靴生成器(绿),23022,4,[20+29],34004,6,[22+31],34006,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,16,1500,[4+8],34016,20,1500,[1+3],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
231023,飞羽靴生成器(蓝),23023,4,[23+34],34004,6,[25+36],34006,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,16,1500,[4+8],34016,20,1500,[1+3],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
231024,飞羽靴生成器(紫),23024,4,[27+39],34004,6,[29+41],34006,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,16,1500,[4+8],34016,20,1500,[1+3],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
231025,魔法靴生成器(白),23025,4,[26+38],34004,31,[2+3],34031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231026,魔法靴生成器(绿),23026,4,[30+44],34004,31,[2+3],34031,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,31,1500,[1+3],34031,3,2000,[2+4],34003,,,,,,,,
231027,魔法靴生成器(蓝),23027,4,[35+50],34004,31,[2+4],34031,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,31,1500,[1+3],34031,3,2000,[2+4],34003,,,,,,,,
231028,魔法靴生成器(紫),23028,4,[40+58],34004,31,[3+4],34031,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,31,1500,[1+3],34031,3,2000,[2+4],34003,,,,,,,,
231029,骑士靴生成器(白),23029,4,[50+73],34004,16,[11+15],34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231030,骑士靴生成器(绿),23030,4,[58+85],34004,16,[12+18],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
231031,骑士靴生成器(蓝),23031,4,[67+97],34004,16,[14+20],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
231032,骑士靴生成器(紫),23032,4,[77+112],34004,16,[16+23],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
231037,鹰之靴生成器(白),23037,4,[26+37],34004,6,[31+44],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231038,鹰之靴生成器(绿),23038,4,[30+43],34004,6,[35+51],34006,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,16,1500,[6+12],34016,20,1500,[2+4],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
231039,鹰之靴生成器(蓝),23039,4,[34+49],34004,6,[41+59],34006,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,16,1500,[6+12],34016,20,1500,[2+4],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
231040,鹰之靴生成器(紫),23040,4,[39+57],34004,6,[47+68],34006,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,16,1500,[6+12],34016,20,1500,[2+4],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
231041,风之靴生成器(白),23041,4,[67+97],34004,23,[1+2],34023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231042,风之靴生成器(绿),23042,4,[78+113],34004,23,[1+2],34023,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,3,2500,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
